dsaid,accession,platform,deg_count,disease,diseaseid,tissue,data_source,library_strategy,organism,control_case_sample_count,definition
DSA04032,GSE158163,GPL16791,1000,Pharyngitis,C0031350,Whole blood,GEO,RNA-Seq,Homo sapiens,13|10,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04033,GSE158163,GPL16791,1000,Pharyngitis,C0031350,Whole blood,GEO,RNA-Seq,Homo sapiens,5|10,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04034,GSE158163,GPL16791,527,Pharyngitis,C0031350,Whole blood,GEO,RNA-Seq,Homo sapiens,3|3,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04035,GSE158163,GPL16791,479,Pharyngitis,C0031350,Whole blood,GEO,RNA-Seq,Homo sapiens,13|3,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04036,GSE158163,GPL16791,368,Pharyngitis,C0031350,Whole blood,GEO,RNA-Seq,Homo sapiens,5|3,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04037,GSE158163,GPL16791,1000,Pharyngitis,C0031350,Whole blood,GEO,RNA-Seq,Homo sapiens,3|3,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04038,GSE158163,GPL16791,450,Pharyngitis,C0031350,Whole blood,GEO,RNA-Seq,Homo sapiens,13|3,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04039,GSE158163,GPL16791,360,Pharyngitis,C0031350,Whole blood,GEO,RNA-Seq,Homo sapiens,5|3,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04040,GSE158216,GPL24676,1000,Myotonic Dystrophy 1,C3250443,,GEO,RNA-Seq,Homo sapiens,3|3,"DO:A myotonic disease that is characterized by progressive muscle wasting and weakness affecting the distal skeletal and smooth muscles of lower legs, hands, neck, and face along with myotonia and cataracts and has_material_basis_in the autosomal dominant inheritance of the DMPK gene containing an expansion of a CTG trinucleotide repeat in the non-coding region."
DSA04041,GSE158241,GPL19057,1000,Diet-Induced Obese  Non-Alcoholic Steatohepatitis ,,Liver,GEO,scRNA-Seq,Mus musculus,4|2,
DSA04042,GSE158264,GPL16686,0,Amyotrophic Lateral Sclerosis,C0002736,,GEO,Microarray,Homo sapiens,4|4,"DO:A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing."
DSA04043,GSE158264,GPL16686,0,Amyotrophic Lateral Sclerosis,C0002736,,GEO,Microarray,Homo sapiens,4|3,"DO:A motor neuron disease that is characterized by muscle spasticity, rapidly progressive weakness due to muscle atrophy, difficulty in speaking, swallowing, and breathing."
DSA04044,GSE158312,GPL18573,276,Stroke,C0948008,Whole blood,GEO,RNA-Seq,Homo sapiens,4|20,DO:A cerebrovascular disease that is characterized by an area of necrotic tissue in the brain resulting from a blockage or narrowing in the arteries supplying blood and oxygen to the brain.
DSA04045,GSE158356,GPL24247,747,Pancreatic Cancer,C0235974,,GEO,scRNA-Seq,Mus musculus,1|1,DO:An endocrine gland cancer located_in the pancreas.
DSA04046,GSE158356,GPL24247,620,Pancreatic Cancer,C0235974,,GEO,scRNA-Seq,Mus musculus,1|1,DO:An endocrine gland cancer located_in the pancreas.
DSA04047,GSE158384,GPL16570,0,Global Glomerulosclerosis,C1865276,Glomerulus,GEO,Microarray,Mus musculus,2|2,"HPO:Obliteration of the glomerular capillary lumen by increased collagenous matrix, with or without hyalinosis or foam cells. Sclerosis involves 100% of the glomerular tuft. Relative to other patent glomeruli in the sample, glomerular size is preserved, or increased/decreased by no more than 50%."
DSA04048,GSE158395,GPL24676,1000,Keloid,C0022548,Skin,GEO,RNA-Seq,Homo sapiens,6|7,"EFO:An irregularly shaped, elevated mark on the skin caused by deposits of excessive amounts of collagen during wound healing. It extends beyond the original boundaries of the wound and may enlarge progressively."
DSA04049,GSE158415,GPL23479,1000,Myocardial Infarction,C0027051,Heart,GEO,RNA-Seq,Mus musculus,6|5,DO:A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.
DSA04050,GSE19286,GPL1261,0,Atherosclerosis,C0004153,Aorta,GEO,Microarray,Mus musculus,2|2,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA04051,GSE15852,GPL96,1000,Mucinous Carcinoma,C0007130,Breast,GEO,Microarray,Homo sapiens,43|43,"DO:An adenocarcinoma that derives_from epithelial cells originating in glandular tissue, which produce mucin."
DSA04052,GSE158558,GPL20301,1000,Intracranial Aneurysm,C0007766,Arterial vessel,GEO,RNA-Seq,Homo sapiens,4|4,EFO:Outpouching of BASILAR ARTERY at the base of the skull. The basilar artery is the most important artery in the posterior cerebral circulation.
DSA04053,GSE11494,GPL1261,0,Pharyngitis,C0031350,,GEO,Microarray,Mus musculus,4|12,"DO:An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever."
DSA04054,GSE6461,GPL1261,1000,Rhabdomyosarcoma,C0035412,,GEO,Microarray,Mus musculus,4|5,DO:A skeletal muscle cancer that arise from skeletal muscle progenitors.
DSA04055,GSE6399,GPL1261,4,Striated Muscle Laminopathies,,Heart,GEO,Microarray,Mus musculus,8|6,
DSA04056,GSE6980,GPL1261,1000,Multiple Myeloma,C0026764,,GEO,Microarray,Mus musculus,4|6,DO:A myeloid neoplasm that is located_in the plasma cells in bone marrow.
DSA04057,GSE6980,GPL1261,857,Multiple Myeloma,C0026764,,GEO,Microarray,Mus musculus,5|6,DO:A myeloid neoplasm that is located_in the plasma cells in bone marrow.
DSA04058,GSE10006,GPL570,575,Chronic Obstructive Pulmonary Disease,C0024117,,GEO,Microarray,Homo sapiens,12|14,"DO:An obstructive lung disease that is a chronic and progressive disorder of small airways in the lungs and that is characterized by irreversible airflow obstruction, typically identified by reductions in quantitative spirometric indices, induced forced expiratory volume at 1 second (FEV1) and the ratio of FEV1 to forced vital capacity (less than 0.7 is diagnostic of COPD).  Lung volume is increased and pulmonary hypertension may occur.  The pathologic changes result in the disruption of the airflow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough and chest tightness. COPD is a consequence (an end result) of chronic bronchitis, emphysema or both."
DSA04059,GSE10006,GPL570,756,Chronic Obstructive Pulmonary Disease,C0024117,,GEO,Microarray,Homo sapiens,12|13,"DO:An obstructive lung disease that is a chronic and progressive disorder of small airways in the lungs and that is characterized by irreversible airflow obstruction, typically identified by reductions in quantitative spirometric indices, induced forced expiratory volume at 1 second (FEV1) and the ratio of FEV1 to forced vital capacity (less than 0.7 is diagnostic of COPD).  Lung volume is increased and pulmonary hypertension may occur.  The pathologic changes result in the disruption of the airflow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough and chest tightness. COPD is a consequence (an end result) of chronic bronchitis, emphysema or both."
DSA04060,GSE158712,GPL20795|GPL23227,81,Hemorrhagic Fever With Renal Syndrome,C0019101,,GEO,RNA-Seq,Homo sapiens,3|27,"DO:A viral infectious disease that is a hemorrhagic fever, located in kidney, has_material_basis_in Hantaan virus, has_material_basis_in Dobrava-Belgrade orthohantavirus has_material_basis_in Seoul virus, or has_material_basis_in Puumala virus, which are carried and transmitted by rodents. The infection has symptom headache, has symptom fever, has symptom muscle pains, has symptom facial flush, has symptom petechiae, has symptom proteinuria, and has symptom renal failure."
DSA04061,GSE158752,GPL18573,1000,Asthma,C0004096,Lung,GEO,RNA-Seq,Homo sapiens,17|3,"DO:A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing."
DSA04062,GSE158752,GPL18573,687,Asthma,C0004096,Lung,GEO,RNA-Seq,Homo sapiens,17|25,"DO:A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing."
DSA04063,GSE158754,GPL21290,625,CTBP1 Mutations,C0600433,,GEO,RNA-Seq,Homo sapiens,6|6,HPO:Poor anticoagulant response to activated protein C. A plasma is termed 'APC resistant' when the addition of exogenous APC fails to prolong its clotting time in an activated partial thromboplastin time assay.
DSA04064,GSE158799,GPL18635,404,Retinopathy,C0035309,Retina,GEO,RNA-Seq,Mus musculus,2|2,DO:An eye disease that is located_in the retina.
DSA04065,GSE158799,GPL18635,1000,Retinopathy,C0035309,Retina,GEO,RNA-Seq,Mus musculus,3|3,DO:An eye disease that is located_in the retina.
DSA04066,GSE158799,GPL18635,1000,Retinopathy,C0035309,Retina,GEO,RNA-Seq,Mus musculus,3|3,DO:An eye disease that is located_in the retina.
DSA04067,GSE158807,GPL21163,73,Tuberculosis,C0041296,Whole blood,GEO,Microarray,Mus musculus,7|13,"MONDO:A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use."
DSA04068,GSE158807,GPL21163,1000,Tuberculosis,C0041296,Whole blood,GEO,Microarray,Mus musculus,7|29,"MONDO:A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use."
DSA04069,GSE158807,GPL21163,1000,Tuberculosis,C0041296,Whole blood,GEO,Microarray,Mus musculus,7|25,"MONDO:A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use."
DSA04070,GSE158859,GPL21103,278,Inflammation,C0021368,Colon,GEO,scRNA-Seq,Mus musculus,1|1,"MSH:A pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions. It is usually manifested by typical signs of pain, heat, redness, swelling, and loss of function."
DSA04071,GSE158923,GPL20301,1000,Granuloma Annulare,C0085074,Skin,GEO,RNA-Seq,Homo sapiens,2|5,"MONDO:Granuloma annulare is a long-term (chronic) skin disease consisting of a rash with reddish bumps arranged in a circle or ring. The most commonly affected areas are the forearms, hands and feet. The lesions associated with granuloma annulare usually resolve without treatment. Strong steroids (applied as a cream or injection) are sometimes used to clear the rash more quickly. Most symptoms will disappear within 2 years (even without treatment), but recurrence is common. The underlying cause of granuloma annulare is unknown."
DSA04072,GSE158924,GPL20301,1000,Granuloma Annulare,C0085074,Skin,GEO,scRNA-Seq,Homo sapiens,3|3,"MONDO:Granuloma annulare is a long-term (chronic) skin disease consisting of a rash with reddish bumps arranged in a circle or ring. The most commonly affected areas are the forearms, hands and feet. The lesions associated with granuloma annulare usually resolve without treatment. Strong steroids (applied as a cream or injection) are sometimes used to clear the rash more quickly. Most symptoms will disappear within 2 years (even without treatment), but recurrence is common. The underlying cause of granuloma annulare is unknown."
DSA04073,GSE10334,GPL570,1000,Periodontitis,C0031099,Gingiva,GEO,Microarray,Homo sapiens,64|183,"EFO:Inflammation and loss of connective tissues supporting or surrounding the teeth. This may involve any part of the PERIODONTIUM. Periodontitis is currently classified by disease progression (CHRONIC PERIODONTITIS; AGGRESSIVE PERIODONTITIS) instead of age of onset. (From 1999 International Workshop for a Classification of Periodontal Diseases and Conditions, American Academy of Periodontology)"
DSA04074,GSE158951,GPL23479,0,Non-Alcoholic Steatohepatitis,C3241937,Liver,GEO,RNA-Seq,Mus musculus,1|1,MONDO:Fatty replacement and damage to the hepatocytes not related to alcohol use. It may lead to cirrhosis and liver failure.
DSA04075,GSE158986,GPL16791|GPL29219,0,Chagas Disease,C0041234,,GEO,RNA-Seq,Homo sapiens,6|6,DO:A parasitic protozoa infectious disease that involves infection caused by parasitic protozoan of the genus Trypanosoma in animals and humans.
DSA04076,GSE159007,GPL20301,167,Collagenous Colitis,C0238067,Colon,GEO,RNA-Seq,Homo sapiens,9|8,DO:A colitis characterized by a distinctive thickening of the subepithelial collagen table.
DSA04077,GSE159007,GPL20301,562,Collagenous Colitis,C0238067,Colon,GEO,RNA-Seq,Homo sapiens,9|9,DO:A colitis characterized by a distinctive thickening of the subepithelial collagen table.
DSA04078,GSE159008,GPL20301,258,Collagenous Colitis,C0238067,Colon,GEO,RNA-Seq,Homo sapiens,13|9,DO:A colitis characterized by a distinctive thickening of the subepithelial collagen table.
DSA04079,GSE159008,GPL20301,768,Collagenous Colitis,C0238067,Colon,GEO,RNA-Seq,Homo sapiens,13|9,DO:A colitis characterized by a distinctive thickening of the subepithelial collagen table.
DSA04080,GSE159062,GPL13112|GPL15228,90,Glycogen Storage Disease,C0017919,Engineered skeletal muscle,GEO,RNA-Seq,Homo sapiens,4|3,DO:A glycogen storage disease IX that is characterized by X-linked inheritance of variable exercise-induced muscle weakness or stiffness that has_material_basis_in mutation in the PHKA1 gene on chromosome Xq13.
DSA04081,GSE10406,GPL570,118,Chronic Rhinosinusitis,C0149516,Sinus mucosa,GEO,Microarray,Homo sapiens,9|5,EFO:An acute or chronic inflammatory process affecting the mucous membranes of any sinus cavity.
DSA04082,GSE159225,GPL20795,1000,Multiple Sclerosis,C0026769,Blood,GEO,RNA-Seq,Homo sapiens,20|20,DO:A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.
DSA04083,GSE159225,GPL20795,1000,Multiple Sclerosis,C0026769,Blood,GEO,RNA-Seq,Homo sapiens,20|10,DO:A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.
DSA04084,GSE159243,GPL11154,460,Cardiac Hypertrophy,C1383860,Heart,GEO,RNA-Seq,Homo sapiens,5|5,"EFO:an increase in size of the cardiac tissue, not due to increased cell number"
DSA04085,GSE159260,GPL18573,1000,Glioma,C0017638,Brain,GEO,RNA-Seq,Homo sapiens,5|14,DO:A cell type cancer that has_material_basis_in glial cells and is located in brain or located in spine.
DSA04086,GSE159354,GPL20301,1000,Idiopathic Pulmonary Fibrosis,C1800706,Lung,GEO,scRNA-Seq,Homo sapiens,1|1,DO:A pulmonary fibrosis that is characterized by scarring of the lung.
DSA04087,GSE159354,GPL20301,1000,Idiopathic Pulmonary Fibrosis,C1800706,Lung,GEO,scRNA-Seq,Homo sapiens,3|3,DO:A pulmonary fibrosis that is characterized by scarring of the lung.
DSA04088,GSE159354,GPL20301,1000,Idiopathic Pulmonary Fibrosis,C1800706,Lung,GEO,scRNA-Seq,Homo sapiens,3|3,DO:A pulmonary fibrosis that is characterized by scarring of the lung.
DSA04089,GSE159354,GPL20301,1000,Idiopathic Pulmonary Fibrosis,C1800706,Lung,GEO,scRNA-Seq,Homo sapiens,3|4,DO:A pulmonary fibrosis that is characterized by scarring of the lung.
DSA04090,GSE159354,GPL20301,1000,Idiopathic Pulmonary Fibrosis,C1800706,Lung,GEO,scRNA-Seq,Homo sapiens,3|4,DO:A pulmonary fibrosis that is characterized by scarring of the lung.
DSA04091,GSE159354,GPL20301,1000,Idiopathic Pulmonary Fibrosis,C1800706,Lung,GEO,scRNA-Seq,Homo sapiens,2|3,DO:A pulmonary fibrosis that is characterized by scarring of the lung.
DSA04092,GSE159354,GPL20301,1000,Systemic Sclerosis With Lung Involvement,C0339904,Lung,GEO,scRNA-Seq,Homo sapiens,3|2,HPO:It is a bilateral reticular pattern of linear or lineonodular densities that are most pronounced in basilar portions of the lungs on standard chest x-ray. It is the third minor criterion for scleroderma diagnosis.
DSA04093,GSE159354,GPL20301,1000,Systemic Sclerosis With Lung Involvement,C0339904,Lung,GEO,scRNA-Seq,Homo sapiens,3|3,HPO:It is a bilateral reticular pattern of linear or lineonodular densities that are most pronounced in basilar portions of the lungs on standard chest x-ray. It is the third minor criterion for scleroderma diagnosis.
DSA04094,GSE159354,GPL20301,1000,Systemic Sclerosis With Lung Involvement,C0339904,Lung,GEO,scRNA-Seq,Homo sapiens,3|3,HPO:It is a bilateral reticular pattern of linear or lineonodular densities that are most pronounced in basilar portions of the lungs on standard chest x-ray. It is the third minor criterion for scleroderma diagnosis.
DSA04095,GSE159354,GPL20301,1000,Systemic Sclerosis With Lung Involvement,C0339904,Lung,GEO,scRNA-Seq,Homo sapiens,3|2,HPO:It is a bilateral reticular pattern of linear or lineonodular densities that are most pronounced in basilar portions of the lungs on standard chest x-ray. It is the third minor criterion for scleroderma diagnosis.
DSA04096,GSE159354,GPL20301,1000,Systemic Sclerosis With Lung Involvement,C0339904,Lung,GEO,scRNA-Seq,Homo sapiens,1|1,HPO:It is a bilateral reticular pattern of linear or lineonodular densities that are most pronounced in basilar portions of the lungs on standard chest x-ray. It is the third minor criterion for scleroderma diagnosis.
DSA04097,GSE159356,GPL19057,1000,Type I Tyrosinemia,C0268490,Liver,GEO,RNA-Seq,Mus musculus,8|16,DO:A tyrosinemia that has_material_basis_in deficiency of the enzyme fumarylacetoacetate hydrolase resulting in an increase in fumarylacetoacetate which inhibits previous steps in tyrosine degradation leading to an accumulation of tyrosine in the body.
DSA04098,GSE159392,GPL24676,1000,Pitt-Hopkins Syndrome,C1970431,,GEO,RNA-Seq,Homo sapiens,12|9,"DO:A syndrome characterized by intellectual disability and developmental delay, breathing problems, recurrent seizures, and distinctive facial features and that has_material_basis_in heterozygous de novo mutations in the TCF4 gene in chromosome 18q21."
DSA04099,GSE159392,GPL24676,1000,Pitt-Hopkins Syndrome,C1970431,,GEO,RNA-Seq,Homo sapiens,3|3,"DO:A syndrome characterized by intellectual disability and developmental delay, breathing problems, recurrent seizures, and distinctive facial features and that has_material_basis_in heterozygous de novo mutations in the TCF4 gene in chromosome 18q21."
DSA04100,GSE159417,GPL24676,1000,Chronic Lymphocytic Leukemia,C0023434,,GEO,scRNA-Seq,Homo sapiens,1|1,DO:A lymphocytic leukemia characterized by over production of B-cells and their accumulation in bone marrow and blood.
DSA04101,GSE159495,GPL16791|GPL18573|GPL24676,1000,Environmental Enteric Dysfunction,,Duodenum,GEO,RNA-Seq,Homo sapiens,24|52,
DSA04102,GSE159495,GPL16791|GPL18573|GPL24676,1000,Coeliac Disease,C0007570,Duodenum,GEO,RNA-Seq,Homo sapiens,24|17,"DO:An autoimmune disease of gastrointestinal tract that is caused by a reaction located_in small intestine to gliadin, a prolamin (gluten protein) found in wheat, and similar proteins found in the crops of the tribe Triticeae. The disease is associated with HLA-DQ gene. It has_symptom abdominal pain, has_symptom constipation, has_symptom diarrhea, has_symptom nausea and vomiting, and has_symptom loss of appetite."
DSA04103,GSE179209,GPL20301,1000,Hutchinson-Gilford Progeria Syndrome,C0033300,,GEO,RNA-Seq,Homo sapiens,6|3,"DO:A progeroid syndrome characterized by extreme short stature, low body weight, early loss of hair, lipodystrophy, scleroderma, decreased joint mobility, osteolysis, and facial features that resemble aged persons that has_material_basis_in mutation in LMNA on chromosome 1q22."
DSA04104,GSE179209,GPL20301,1000,Hutchinson-Gilford Progeria Syndrome,C0033300,,GEO,RNA-Seq,Homo sapiens,6|3,"DO:A progeroid syndrome characterized by extreme short stature, low body weight, early loss of hair, lipodystrophy, scleroderma, decreased joint mobility, osteolysis, and facial features that resemble aged persons that has_material_basis_in mutation in LMNA on chromosome 1q22."
DSA04105,GSE179209,GPL20301,1000,Hutchinson-Gilford Progeria Syndrome,C0033300,,GEO,RNA-Seq,Homo sapiens,6|3,"DO:A progeroid syndrome characterized by extreme short stature, low body weight, early loss of hair, lipodystrophy, scleroderma, decreased joint mobility, osteolysis, and facial features that resemble aged persons that has_material_basis_in mutation in LMNA on chromosome 1q22."
DSA04106,GSE179209,GPL20301,1000,Hutchinson-Gilford Progeria Syndrome,C0033300,,GEO,RNA-Seq,Homo sapiens,6|3,"DO:A progeroid syndrome characterized by extreme short stature, low body weight, early loss of hair, lipodystrophy, scleroderma, decreased joint mobility, osteolysis, and facial features that resemble aged persons that has_material_basis_in mutation in LMNA on chromosome 1q22."
DSA04107,GSE179209,GPL20301,1000,Hutchinson-Gilford Progeria Syndrome,C0033300,,GEO,RNA-Seq,Homo sapiens,6|3,"DO:A progeroid syndrome characterized by extreme short stature, low body weight, early loss of hair, lipodystrophy, scleroderma, decreased joint mobility, osteolysis, and facial features that resemble aged persons that has_material_basis_in mutation in LMNA on chromosome 1q22."
DSA04108,GSE179209,GPL20301,1000,Hutchinson-Gilford Progeria Syndrome,C0033300,,GEO,RNA-Seq,Homo sapiens,6|3,"DO:A progeroid syndrome characterized by extreme short stature, low body weight, early loss of hair, lipodystrophy, scleroderma, decreased joint mobility, osteolysis, and facial features that resemble aged persons that has_material_basis_in mutation in LMNA on chromosome 1q22."
DSA04109,GSE179221,GPL24676,1000,Monoclonal Gammopathy of Undetermined Significance,C0026470,,GEO,scRNA-Seq,Homo sapiens,4|7,DO:A blood protein disease that is characterized by the presence of an abnormal protein called monoclonal protein in the blood.
DSA04110,GSE179221,GPL24676,1000,Waldenstrom Macroglobulinemia,C0024419,,GEO,scRNA-Seq,Homo sapiens,4|7,DO:A B-cell lymphocytic neoplasm characterized by an uncontrolled increase of B-cells.
DSA04111,GSE179233,GPL19057,1000,Colitis,C0009319,Cecum,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA04112,GSE179233,GPL19057,1000,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA04113,GSE179233,GPL19057,50,Colitis,C0009319,Liver,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA04114,GSE179233,GPL19057,1000,Colitis,C0009319,Cecum,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA04115,GSE179233,GPL19057,195,Colitis,C0009319,Colon,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA04116,GSE179233,GPL19057,204,Colitis,C0009319,Liver,GEO,RNA-Seq,Mus musculus,3|3,DO:An inflammatory bowel disease that involves inflammation located_in colon.
DSA04117,GSE179285,GPL6480,318,Ulcerative Colitis,C0009324,Colon,GEO,Microarray,Homo sapiens,23|32,DO:An inflammatory bowel disease that has_material_basis_in mutations in the NOD2 gene on chromosome 16q12.1.
DSA04118,GSE179285,GPL6480,1000,Crohn's Disease,C0010346,Colon,GEO,Microarray,Homo sapiens,23|72,"DO:An inflammatory bowel disease characterized by inflammation located_in colon only, has_symptom diarrhea, has_symptom rectal bleeding, has_symptom skin lesions and has_symptom formation of ulcers, fistulas and abscesses around the anus."
DSA04119,GSE179285,GPL6480,0,Crohn's Disease,C0010346,Colon,GEO,Microarray,Homo sapiens,8|49,"DO:An inflammatory bowel disease characterized by inflammation located_in colon only, has_symptom diarrhea, has_symptom rectal bleeding, has_symptom skin lesions and has_symptom formation of ulcers, fistulas and abscesses around the anus."
DSA04120,GSE10406,GPL570,225,Chronic Rhinosinusitis,C0149516,Sinus mucosa,GEO,Microarray,Homo sapiens,9|9,EFO:An acute or chronic inflammatory process affecting the mucous membranes of any sinus cavity.
DSA04121,GSE10650,GPL570,1000,Colon Cancer,C0699790,Colon,GEO,Microarray,Homo sapiens,2|2,DO:A colon cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA04122,GSE10714,GPL570,52,Ulcerative Colitis,C0009324,Colon,GEO,Microarray,Homo sapiens,3|3,DO:An inflammatory bowel disease that has_material_basis_in mutations in the NOD2 gene on chromosome 16q12.1.
DSA04123,GSE10714,GPL570,358,Colorectal Adenoma,C1302401,Colon,GEO,Microarray,Homo sapiens,3|5,"EFO:An adenoma that arises from the colon or rectum. The group of colorectal adenomas includes tubular, villous, and tubulovillous adenomas, traditional serrated adenomas, sessile serrated adenomas/polyps, and familial adenomatous polyposis."
DSA04124,GSE179441,GPL19057,65,Graft Versus Host Disease,C0018133,,GEO,RNA-Seq,Mus musculus,3|3,MONDO:An immune system disorder that occurs after allogeneic hematopoietic stem cell transplant and is a reaction of donor immune cells against host tissues. Activated donor T cells damage host epithelial cells after an inflammatory cascade that begins with the preparative regimen.
DSA04125,GSE179441,GPL19057,610,Graft Versus Host Disease,C0018133,Hippocampus,GEO,RNA-Seq,Mus musculus,3|3,MONDO:An immune system disorder that occurs after allogeneic hematopoietic stem cell transplant and is a reaction of donor immune cells against host tissues. Activated donor T cells damage host epithelial cells after an inflammatory cascade that begins with the preparative regimen.
DSA04126,GSE179445,GPL16686,27,Lung Injury,C0273115,Lung,GEO,Microarray,Homo sapiens,5|5,"MSH:Damage to any compartment of the lung caused by physical, chemical, or biological agents which characteristically elicit inflammatory reaction. These inflammatory reactions can either be acute and dominated by NEUTROPHILS, or chronic and dominated by LYMPHOCYTES and MACROPHAGES."
